key,button,feature,center,zoom,info,geometry
Mill_Harbout,Mill Harbout,"""177143622,177143618,3144134361258515,688930149,1279689397,889576858668445,1023980048235445,4889576858668445,2540021883201315,52036981""","""[ -0.018948054998971, 51.499610368808945 ]""",16,"<h3>Mill Harbour</h3>
        <strong>Schmeme Name</Strong><br><br>
        3 Millharbour(Great Eastern Enterprise Centre), 6-8 South Quay Square<br><br>

        <strong>Site Location</strong><br>
        Two Sites: SITE 1 Land at 3 Millharbour and SITE 2 land at 6, 7 and 8 South Quay Square, South Quay Square, London<br><br>

        <strong>Accommodation Schedule</strong><br>
        <table border = 1>
          <tr style=""text-align: left;"">
            <th>Total</th>
            <th>1619</th>
          </tr>
          <tr>
            <td>Private</td>
            <td>1245</td>
          </tr>
          <tr>
            <td>Affordable</td>
            <td>0</td>
          </tr>
          <tr>
            <td>LAR</td>
            <td>0</td>
          </tr>
          <tr>
            <td>Social</td>
            <td>267</td>
          </tr>
          <tr>  
            <td>Intermediate/ Shared Ownership</td>
            <td>107</td>
          </tr>
        </table>
        <br>

        <strong>Planning Application</strong><br>
        PA/20/01969<br><br>

        <strong>Permission Date</strong><br>
        20-Oct-21<br><br>

        <strong>Construction Start</strong><br>
        Sep-20<br><br>

        <strong>Scheme Progress</strong><br>
        <ul>
          <li>Construction on hold since Q1 2022; Phase 1 has 945 units (571 private), Phase 2 has 674 private units.</li>
          <li>Affordable tenures: 163 social rent, 104 affordable rent, 107 intermediate.</li>
          <li>Blocks: G1 not started (674 private), G2 under construction (256 private, 169 affordable), G3 under construction (315 private), G4 under construction (205 affordable).</li>
          <li>Application PA/20/01969 permitted on 20/10/2021, total 1,619 units (1,245 private, 267 social rent, 107 intermediate).</li>
          <li>First completions due in 2024.</li>
        </ul>","""[[[[ -0.020805414751267, 51.50023645680416 ], [ -0.020809751943883, 51.500236781841714 ], [ -0.020809263772212, 51.500240064946333 ], [ -0.020822748117459, 51.500252738981047 ], [ -0.020824168341932, 51.500253212590628 ], [ -0.020827008946847, 51.500254159812371 ], [ -0.020829149178696, 51.500254645583041 ], [ -0.020831989779587, 51.500255592901965 ], [ -0.020833410160126, 51.500256066514076 ], [ -0.020834110533389, 51.500256527965057 ], [ -0.02083553075388, 51.500257001671805 ], [ -0.02083693165637, 51.500257924576374 ], [ -0.020838351881166, 51.500258398185785 ], [ -0.020839032772186, 51.500259309026546 ], [ -0.020840453152914, 51.500259782638558 ], [ -0.020840433674816, 51.500260231931058 ], [ -0.020841134043995, 51.500260693479298 ], [ -0.02084181493932, 51.500261604222729 ], [ -0.020843215837859, 51.500262527224514 ], [ -0.020844577624455, 51.500264348808656 ], [ -0.020845939567036, 51.500266170395413 ], [ -0.02084590061094, 51.500267068980421 ], [ -0.02084656202419, 51.500268429113639 ], [ -0.020822253495862, 51.500413703589722 ], [ -0.020802305729117, 51.500508241858604 ], [ -0.020805822829215, 51.5005201718972 ], [ -0.020811347406152, 51.500538970634651 ], [ -0.020812481909309, 51.500572623613444 ], [ -0.020806720272927, 51.500591195695918 ], [ -0.020803604309337, 51.500601251271647 ], [ -0.020794057463355, 51.500625371076268 ], [ -0.02076892973132, 51.500653274535516 ], [ -0.020733536981079, 51.500672011700082 ], [ -0.020678594235675, 51.500689699111341 ], [ -0.020623399654372, 51.50071352443851 ], [ -0.020608315429046, 51.500712163583927 ], [ -0.020591252064281, 51.500710256577804 ], [ -0.020582519919678, 51.500708939928387 ], [ -0.020565382660604, 51.500705412997405 ], [ -0.020564658904061, 51.500705490735555 ], [ -0.020564211373653, 51.500705842837441 ], [ -0.020564040060939, 51.500706469497693 ], [ -0.020563861111997, 51.500707275859853 ], [ -0.020563790974633, 51.500708893347728 ], [ -0.020563475627858, 51.500709517574911 ], [ -0.02056316823328, 51.500709962008173 ], [ -0.020562440582716, 51.500710129547265 ], [ -0.020555385564549, 51.500710010370675 ], [ -0.020551790010375, 51.500709859765998 ], [ -0.020544894614915, 51.500709383526058 ], [ -0.020541302959043, 51.500709143022789 ], [ -0.020537859079568, 51.500708815051595 ], [ -0.020534415200161, 51.500708487080303 ], [ -0.020530971476687, 51.500708159111561 ], [ -0.020527531491385, 51.500707741339085 ], [ -0.020524091666265, 51.50070732347185 ], [ -0.020520651685316, 51.500706905601874 ], [ -0.020517215598483, 51.50070639793082 ], [ -0.020513923701637, 51.500705892695429 ], [ -0.020510487614949, 51.500705385024155 ], [ -0.020503623394285, 51.500704189887387 ], [ -0.020500335240157, 51.500703594750682 ], [ -0.020496903052116, 51.500702997180717 ], [ -0.020493474918351, 51.50070230971501 ], [ -0.020490190658592, 51.500701624777008 ], [ -0.020486762369159, 51.500700937308473 ], [ -0.02048348200794, 51.500700162472 ], [ -0.020480053870374, 51.500699475103175 ], [ -0.020476773513602, 51.500698700169217 ], [ -0.020473349118716, 51.500697922899263 ], [ -0.020466788397315, 51.500696373225459 ], [ -0.020463364158668, 51.500695595957801 ], [ -0.020460087696625, 51.500694731222382 ], [ -0.020456807336338, 51.500693956385135 ], [ -0.020453386840553, 51.500693089216291 ], [ -0.02044683407324, 51.500691359747371 ], [ -0.020443413577852, 51.500690492578187 ], [ -0.020440137116579, 51.500689627842178 ], [ -0.020436860651217, 51.500688763203328 ], [ -0.020433584190187, 51.500687898467099 ], [ -0.020430307729299, 51.500687033730777 ], [ -0.020426891288897, 51.500686076665467 ], [ -0.020423614824042, 51.500685212026241 ], [ -0.020420338363549, 51.500684347289607 ], [ -0.020417061903184, 51.500683482552894 ], [ -0.020413785442934, 51.500682617816075 ], [ -0.02041051287707, 51.500681663278165 ], [ -0.020407092539041, 51.500680796110501 ], [ -0.020403816079184, 51.500679931373405 ], [ -0.020401535698113, 51.500679353258874 ], [ -0.020397263159871, 51.500678201898886 ], [ -0.020393982801917, 51.500677427059756 ], [ -0.020390706342581, 51.500676562322262 ], [ -0.020387285849442, 51.500675695151351 ], [ -0.020384005491851, 51.500674920311923 ], [ -0.020380729188777, 51.500674055576773 ], [ -0.020377448831409, 51.500673280737139 ], [ -0.020374168474169, 51.500672505897441 ], [ -0.020370744083141, 51.500671728624297 ], [ -0.020209590863448, 51.500636721101195 ], [ -0.019787018784316, 51.500546395480413 ], [ -0.019600685955732, 51.50050727443908 ], [ -0.019521382124812, 51.500491995070433 ], [ -0.01942554989261, 51.500477425585402 ], [ -0.019407542960837, 51.500475682398324 ], [ -0.019323646896468, 51.500466620366602 ], [ -0.019297945342759, 51.500461239797758 ], [ -0.019273002480378, 51.500454972804704 ], [ -0.019270644038408, 51.500453871781062 ], [ -0.019227106262195, 51.500433513225197 ], [ -0.019213468722486, 51.500415746578085 ], [ -0.019210551634229, 51.500399959635679 ], [ -0.01913844695968, 51.500384801797999 ], [ -0.01913529445198, 51.500391043500052 ], [ -0.019133776762557, 51.500392816427613 ], [ -0.019132239422219, 51.500395038644555 ], [ -0.019129145397781, 51.500399932470316 ], [ -0.019124611666661, 51.500404801958005 ], [ -0.019117898724355, 51.500410084227809 ], [ -0.019109045564488, 51.500414880597994 ], [ -0.019097215349127, 51.500421874942916 ], [ -0.019089880028806, 51.500424898484475 ], [ -0.01908186369338, 51.500427011172356 ], [ -0.019072446641544, 51.500428200937002 ], [ -0.019061609226475, 51.500428916970193 ], [ -0.019052231165216, 51.500429208149207 ], [ -0.019043592457255, 51.500429062107663 ], [ -0.018986916058215, 51.50042360744181 ], [ -0.018974755763824, 51.500421603275399 ], [ -0.018758656687669, 51.500371186599395 ], [ -0.018700171686281, 51.500357607635728 ], [ -0.018689529439655, 51.500353830523537 ], [ -0.018679626390198, 51.500349616287551 ], [ -0.018669023150214, 51.500344940492397 ], [ -0.018659859455895, 51.500340289134627 ], [ -0.018650754422319, 51.500334289805799 ], [ -0.018643867604988, 51.500326979021736 ], [ -0.018642466749504, 51.500326055994108 ], [ -0.018631709029977, 51.500308337972079 ], [ -0.018626339925277, 51.500299254266103 ], [ -0.018622449680215, 51.500289296322862 ], [ -0.018621263337282, 51.50028343079218 ], [ -0.018620096646141, 51.500277116069519 ], [ -0.018620330656985, 51.500271724274796 ], [ -0.018621265018545, 51.500266793944036 ], [ -0.018652647710808, 51.500074876409023 ], [ -0.018683982632001, 51.499883722352408 ], [ -0.018590718304366, 51.499785120821144 ], [ -0.018570592508053, 51.499783737357063 ], [ -0.018539954442956, 51.499783219274072 ], [ -0.018540238196034, 51.499781659353836 ], [ -0.018495489399042, 51.49977860040503 ], [ -0.018230955067318, 51.499762678988581 ], [ -0.018203360783683, 51.4997600901402 ], [ -0.018063238860361, 51.499611496237264 ], [ -0.017673939052306, 51.499586199082195 ], [ -0.017493642010571, 51.499574156960037 ], [ -0.017439306868544, 51.499531421049248 ], [ -0.017446997518656, 51.49948703616819 ], [ -0.017351857968947, 51.499488124936732 ], [ -0.017285766832896, 51.499483859506313 ], [ -0.017283726857946, 51.499482062442333 ], [ -0.01728368524404, 51.499482025714215 ], [ -0.017260765676878, 51.499480289075059 ], [ -0.017279486905465, 51.499361728593698 ], [ -0.017279110047498, 51.499357468536239 ], [ -0.017301189145909, 51.49922827226527 ], [ -0.017302709842758, 51.499228423876829 ], [ -0.017304071271052, 51.499225605176399 ], [ -0.017309408937578, 51.49916407610197 ], [ -0.01730875603456, 51.499160863575149 ], [ -0.017308474424026, 51.499160049434991 ], [ -0.01730866955861, 51.499155556229439 ], [ -0.017308027631852, 51.499153746788807 ], [ -0.017308806148141, 51.499152411092545 ], [ -0.017323916356907, 51.499053295078348 ], [ -0.01732471423113, 51.499051509990529 ], [ -0.017324792283142, 51.499049712727654 ], [ -0.017325570801196, 51.499048376933857 ], [ -0.017326368675256, 51.49904659184601 ], [ -0.017327147037332, 51.499045256049534 ], [ -0.01732794491128, 51.499043470961666 ], [ -0.017328801877558, 51.499042649109846 ], [ -0.017347182523727, 51.498934910262285 ], [ -0.017349733474163, 51.498919962262384 ], [ -0.017357772996203, 51.498870862063377 ], [ -0.01735643091948, 51.498868591159592 ], [ -0.017378976032194, 51.498735616680271 ], [ -0.017393229311592, 51.498651585269684 ], [ -0.017428829937987, 51.498437931350196 ], [ -0.017435854265095, 51.498403580401387 ], [ -0.018805656388778, 51.498487346246286 ], [ -0.018723498688353, 51.498956906758131 ], [ -0.018721980876274, 51.498958679678474 ], [ -0.018721827994878, 51.498967184465933 ], [ -0.018698026657991, 51.49911358224125 ], [ -0.018700466282483, 51.499122436583683 ], [ -0.018700368786953, 51.499124683141034 ], [ -0.018667974720784, 51.499323328324429 ], [ -0.018615197839348, 51.499643033115959 ], [ -0.018614766042481, 51.499645678757688 ], [ -0.018847376502745, 51.499741177576595 ], [ -0.01885012252738, 51.499740981181453 ], [ -0.018852987712436, 51.499741029623891 ], [ -0.018853003222663, 51.499741002916622 ], [ -0.01885300205317, 51.49974102986635 ], [ -0.018926351895559, 51.499744068571211 ], [ -0.019281971606248, 51.499766717234898 ], [ -0.019472668330245, 51.499777908322805 ], [ -0.019480492314439, 51.49971080957242 ], [ -0.019602537013675, 51.499717278840329 ], [ -0.019616312256361, 51.499715263350076 ], [ -0.019643181710417, 51.499710321806546 ], [ -0.019659933769185, 51.499706108415495 ], [ -0.019673047631334, 51.499702732876251 ], [ -0.019680324325956, 51.499701057270229 ], [ -0.019687581686952, 51.499699830958619 ], [ -0.019695558729652, 51.499698616906571 ], [ -0.019702796601032, 51.499697839886259 ], [ -0.019710734665475, 51.499697524417655 ], [ -0.019718692378598, 51.499696759561623 ], [ -0.019725891267873, 51.499696881221638 ], [ -0.019733829332034, 51.499696565751485 ], [ -0.01974962781406, 51.499697732081124 ], [ -0.019756807059414, 51.499698303028858 ], [ -0.019764686814821, 51.499699335436013 ], [ -0.01977184656826, 51.499700355772376 ], [ -0.01977970683207, 51.499701837568082 ], [ -0.01978684710245, 51.499703307098514 ], [ -0.019801088816261, 51.499707144939826 ], [ -0.019808190259976, 51.49970951325075 ], [ -0.019820953161348, 51.499714225342203 ], [ -0.019827315125393, 51.499717030679697 ], [ -0.019833657598407, 51.499720285406404 ], [ -0.019839299717233, 51.499723078676013 ], [ -0.019844902861799, 51.499726770529925 ], [ -0.019851226005878, 51.499730474550624 ], [ -0.019863774544664, 51.499740129144435 ], [ -0.019872081827586, 51.499747913482189 ], [ -0.019883112736398, 51.499759341011817 ], [ -0.019890680695636, 51.499767562476308 ], [ -0.019910543872263, 51.499791279718224 ], [ -0.019919648967484, 51.499797278950325 ], [ -0.019930933239418, 51.499802865383955 ], [ -0.019937314709126, 51.499805221423344 ], [ -0.019945155509903, 51.499807152500459 ], [ -0.019950856109912, 51.499808597790668 ], [ -0.019957296040762, 51.499809605952088 ], [ -0.020029128293597, 51.499814416905132 ], [ -0.020032279857943, 51.499791583173383 ], [ -0.020032252969958, 51.499791537737423 ], [ -0.020032281807354, 51.499791538224692 ], [ -0.020036816543425, 51.499770031844903 ], [ -0.020186405250072, 51.49977926815626 ], [ -0.020257408761519, 51.499783588278817 ], [ -0.020317959648098, 51.499779755119683 ], [ -0.020440222048777, 51.499787189427948 ], [ -0.0205580683906, 51.499794126357344 ], [ -0.020634939913266, 51.49979902206546 ], [ -0.02063478357889, 51.499799972606738 ], [ -0.020677256957429, 51.499784727717213 ], [ -0.020677375029753, 51.499784001242986 ], [ -0.020905090634796, 51.499799088639861 ], [ -0.020919449341701, 51.499800230493918 ], [ -0.020896211792572, 51.499937429406934 ], [ -0.020861296745306, 51.500144575831527 ], [ -0.020845498228954, 51.500143409749818 ], [ -0.020776525437846, 51.500139097221371 ], [ -0.020776505959206, 51.500139546513864 ], [ -0.020775746992235, 51.500140433034701 ], [ -0.020775708034939, 51.50014133161968 ], [ -0.020774949223815, 51.500142218143139 ], [ -0.020774871304964, 51.500144015410413 ], [ -0.020774112497996, 51.50014490183657 ], [ -0.020773956660208, 51.500148496371096 ], [ -0.020774637548367, 51.500149407212199 ], [ -0.020774618069701, 51.500149856504692 ], [ -0.020775279479233, 51.500151216638294 ], [ -0.020775941048913, 51.500152576677216 ], [ -0.020776621937171, 51.500153487518304 ], [ -0.020778003196618, 51.500154859810699 ], [ -0.020779404094868, 51.500155782715929 ], [ -0.020780785354466, 51.500157155008289 ], [ -0.020783586991176, 51.500159000913314 ], [ -0.020784968406889, 51.500160373208267 ], [ -0.020787088999479, 51.500161308269533 ], [ -0.020788489893889, 51.500162231271958 ], [ -0.020790630121035, 51.500162717043295 ], [ -0.02079275071385, 51.500163652104455 ], [ -0.020794151608448, 51.500164575106787 ], [ -0.020796272357315, 51.500165510170525 ], [ -0.0207984124246, 51.500165996036394 ], [ -0.020799813323602, 51.500166918941375 ], [ -0.020804093618542, 51.500167890578275 ], [ -0.020806214367753, 51.500168825641829 ], [ -0.020808354595402, 51.500169311412847 ], [ -0.020810514145545, 51.500169347888693 ], [ -0.020814794596826, 51.50017031952784 ], [ -0.020816954302904, 51.500170356006194 ], [ -0.020819814380818, 51.500170853935572 ], [ -0.020826293343295, 51.500170963367644 ], [ -0.020773526723022, 51.500214245231284 ], [ -0.020771832467762, 51.50021410873596 ], [ -0.020771112617028, 51.500214096577103 ], [ -0.020765314541816, 51.500214897885797 ], [ -0.020758738170606, 51.500217035107305 ], [ -0.020754321355438, 51.50021920870806 ], [ -0.020751324918453, 51.500221855921723 ], [ -0.02074906780677, 51.500224066099115 ], [ -0.020748231077818, 51.500226749792269 ], [ -0.020747277466393, 51.500232129434899 ], [ -0.020748296994327, 51.500232209649489 ], [ -0.020805414751267, 51.50023645680416 ]]]]"""
Poplar Business Park,Poplar Business Park,"""191286188,191286185""","""[ -0.010151791579926, 51.508092725067556 ]""",16,"<h3>Poplar Business Park</h3>
        <strong>Scheme Name</strong><br><br>
        Poplar Business Park - Manhattan Plaza<br><br>

        <strong>Site Location</strong><br>
        Poplar Business Park, 10 Prestons Road, London, E14 9RL<br><br>

        <strong>Accommodation Schedule</strong><br>
        <table border = 1>
          <tr style=""text-align: left;"">
            <th>Total</th>
            <th>392</th>
          </tr>
          <tr>
            <td>Private</td>
            <td>321</td>
          </tr>
          <tr>
            <td>Affordable</td>
            <td>47</td>
          </tr>
          <tr>
            <td>LAR</td>
            <td>0</td>
          </tr>
          <tr>
            <td>Social</td>
            <td>0</td>
          </tr>
          <tr>
            <td>Intermediate/ Shared Ownership</td>
            <td>24</td>
          </tr>
        </table>
        <br>

        <strong>Planning Application</strong><br>
        PA/11/03375<br><br>

        <strong>Permission Date</strong><br>
        23-Sep-13<br><br>

        <strong>Construction Start</strong><br>
        May-15<br><br>

        <strong>Scheme Progress</strong><br>
        <ul>
          <li>120 of 321 private units completed in Q4 2017 and sold out in Q2 2019.</li>
          <li>Remaining 222 units (201 private) bought by Bloom and TPG Angelo Gordon in Q2 2024 for industrial use.</li>
          <li>JV between Bloom and TPG Angelo Gordon bought the estate for £21.5m on 10 May 2024.</li>
          <li>Phases 2 and 3 start date and developer not confirmed; leases expire in 2025.</li>
          <li>Affordable tenures: 47 affordable rent, 24 intermediate.</li>
        </ul>","""[[[[ -0.009334830588633, 51.50832731662409 ], [ -0.009279105528374, 51.508031326841831 ], [ -0.009273707648297, 51.508028213574072 ], [ -0.009233807431763, 51.507846146429948 ], [ -0.009233099337273, 51.507818777588291 ], [ -0.009264621643456, 51.507795517284684 ], [ -0.009320467577296, 51.507788803574584 ], [ -0.009337865210093, 51.507786401147946 ], [ -0.009410229105952, 51.507778951703095 ], [ -0.010041571545021, 51.507727807660693 ], [ -0.010123907706993, 51.507719690702693 ], [ -0.010332436646903, 51.507703004881755 ], [ -0.010414758761398, 51.507694878524632 ], [ -0.010786234411342, 51.507671775534426 ], [ -0.010827178350504, 51.507668063704834 ], [ -0.011026751109797, 51.507650541181825 ], [ -0.011036619539604, 51.50768895599699 ], [ -0.01107035793878, 51.50783501768106 ], [ -0.011064869836696, 51.507851822508883 ], [ -0.010902856921125, 51.507868534528988 ], [ -0.011012484261055, 51.508371261476832 ], [ -0.011025126739902, 51.508474976821923 ], [ -0.010883941061431, 51.508477338567729 ], [ -0.010766141112869, 51.508468208132747 ], [ -0.01065637368193, 51.50844969031111 ], [ -0.010383846759166, 51.508447439428949 ], [ -0.009930956682944, 51.508471875018017 ], [ -0.00976270113317, 51.508483299545937 ], [ -0.009493508811351, 51.508491813856196 ], [ -0.009302697284965, 51.508495705172614 ], [ -0.009249877247258, 51.50848291934058 ], [ -0.009246148899412, 51.50845442012411 ], [ -0.009237135449581, 51.50838157629375 ], [ -0.009334830588633, 51.50832731662409 ]]]]"""
Poplar_Transformer_Station,Poplar Transformer,"""4214386535513605,1471692045908755""","""[ -0.019504854817147, 51.518379800863073 ]""",16,"<h3>Poplar Transformer Station</h3>
        <strong>Scheme Name</strong><br><br>
        Poplar Transformer Station<br><br>

        <strong>Site Location</strong><br>
        Land Bounded By Watts Grove And Gale Street, London, E3<br><br>

        <strong>Accommodation Schedule</strong><br>
        <table border = 1>
          <tr style=""text-align: left;"">
            <th>Total</th>
            <th>65</th>
          </tr>
          <tr>
            <td>Private</td>
            <td>0</td>
          </tr>
          <tr>
            <td>Affordable</td>
            <td>65</td>
          </tr>
          <tr>
            <td>LAR</td>
            <td>0</td>
          </tr>
          <tr>
            <td>Social</td>
            <td>0</td>
          </tr>
          <tr>
            <td>Intermediate/ Shared Ownership</td>
            <td>0</td>
          </tr>
        </table>
        <br>

        <strong>Planning Application</strong><br>
        PA/17/00732<br><br>

        <strong>Permission Date</strong><br>
        26-Feb-18<br><br>

        <strong>Construction Start</strong><br>
        Sep-19<br><br>
        
        <strong>Scheme Progress</strong><br>
        <ul>
          <li>Construction commenced in Q3 2019 for 65 affordable units.</li>
          <li>Work has been on hold since a crane collapse on 08/07/2020.</li>
          <li>Full planning permission granted on 26 Feb 2018 (PA/17/00732).</li>
          <li>Borough resolved to grant application on 11 Oct 2017; s106 not signed.</li>
          <li>Application submitted on 22 Mar 2017 for redevelopment of three residential blocks with 65 dwellings and associated amenities.</li>
        </ul>","""[[[[ -0.01991797255878, 51.518358054655593 ], [ -0.019833559997522, 51.518389687653496 ], [ -0.019866592609319, 51.518489102463732 ], [ -0.019868510997831, 51.518496050307569 ], [ -0.019883491932406, 51.518532148199071 ], [ -0.019881699595739, 51.518532594636511 ], [ -0.019876239710345, 51.518533851448318 ], [ -0.019773951841221, 51.518565848254362 ], [ -0.019709659226578, 51.518585896272036 ], [ -0.019653737810475, 51.518601373434208 ], [ -0.019553043302826, 51.518629530047981 ], [ -0.019540100727814, 51.518633484235544 ], [ -0.019449822314268, 51.518661097246756 ], [ -0.019400167164103, 51.518675996477356 ], [ -0.01934198612795, 51.518608378091123 ], [ -0.019335166157199, 51.518600457331651 ], [ -0.0193308240597, 51.518595222142871 ], [ -0.019324018443738, 51.518587301527504 ], [ -0.019213561862991, 51.518458819052057 ], [ -0.01917241859988, 51.518410462895623 ], [ -0.019021564814159, 51.518465470098626 ], [ -0.019022907563746, 51.518467740936018 ], [ -0.018873669430134, 51.518518728605088 ], [ -0.01884936211978, 51.518480998178461 ], [ -0.018834571536741, 51.518456468017682 ], [ -0.018823362480155, 51.518432447935311 ], [ -0.018821358128203, 51.518428816984198 ], [ -0.018815325094096, 51.518418373505249 ], [ -0.018806879722693, 51.518397097864906 ], [ -0.018879931658114, 51.518374500333273 ], [ -0.018982141667879, 51.518344301541511 ], [ -0.019135505203992, 51.518297879831429 ], [ -0.019242192066808, 51.518264159283071 ], [ -0.019640304903558, 51.518141382623917 ], [ -0.019643613231962, 51.518148183061001 ], [ -0.019776246411214, 51.518097813597414 ], [ -0.019788557186812, 51.518093138282438 ], [ -0.019815837938242, 51.51808229479775 ], [ -0.019910446153975, 51.51817741588151 ], [ -0.019982925583688, 51.518251030651832 ], [ -0.020040760763913, 51.518312680663207 ], [ -0.020015924338095, 51.518321335288078 ], [ -0.01991797255878, 51.518358054655593 ]]]]"""
